[SEND] sair
49	0	0	49	1	0.00
0	0	0	0	1	0.00
14	0	0	14	1	-3.33
4	0	0	4	1	-4.55
4	0	0	4	1	-5.76
4	0	0	4	1	-6.97
4	0	0	4	1	-8.18
4	0	0	4	1	-9.40
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
4	0	0	4	1	-10.00
2	0	0	2	1	-10.00
2	0	0	2	1	-10.00
[SEND] 030
2	0	0	2	1	-10.00
1	30	30	1	18	0.00
1	30	30	1	36	0.00
3	30	30	3	53	0.00
15	30	30	15	63	4.55
25	30	30	25	66	6.06
31	30	30	31	66	5.76
33	30	30	33	65	4.84
34	30	30	34	63	3.63
34	30	30	34	61	2.42
35	30	30	35	58	0.90
35	30	30	35	55	-0.62
35	30	30	35	51	-2.13
35	30	30	35	48	-3.65
35	30	30	35	45	-5.16
35	30	30	35	41	-6.68
33	30	30	33	38	-7.59
31	30	30	31	37	-7.89
28	30	30	28	37	-7.29
28	30	30	28	38	-6.68
27	30	30	27	39	-5.77
27	30	30	27	40	-4.86
27	30	30	27	42	-3.96
27	30	30	27	43	-3.05
27	30	30	27	45	-2.14
27	30	30	27	47	-1.23
27	30	30	27	48	-0.32
27	30	30	27	50	0.59
27	30	30	27	52	1.30
27	30	30	27	54	2.22
27	30	30	27	56	3.13
27	30	30	27	59	4.04
28	30	30	28	60	4.64
29	30	30	29	61	4.95
30	30	30	30	62	4.95
30	30	30	30	62	4.95
31	30	30	31	62	4.64
32	30	30	32	61	4.04
32	30	30	32	61	3.43
32	30	30	32	60	2.82
32	30	30	32	59	2.21
32	30	30	32	58	1.61
32	30	30	32	56	1.00
32	30	30	32	55	0.39
32	30	30	32	54	-0.21
32	30	30	32	53	-0.82
32	30	30	32	51	-1.43
32	30	30	32	50	-2.04
32	30	30	32	49	-2.64
32	30	30	32	47	-3.25
32	30	30	32	45	-3.86
32	30	30	32	44	-4.46
32	30	30	32	42	-5.07
32	30	30	32	40	-5.68
32	30	30	32	39	-6.28
30	30	30	30	38	-6.28
30	30	30	30	37	-6.28
29	30	30	29	37	-5.98
27	30	30	27	39	-5.07
27	30	30	27	40	-4.16
27	30	30	27	41	-3.25
27	30	30	27	43	-2.34
27	30	30	27	45	-1.43
27	30	30	27	46	-0.52
27	30	30	27	48	0.40
27	30	30	27	50	1.31
27	30	30	27	52	2.22
30	30	30	30	52	2.22
30	30	30	30	53	2.22
30	30	30	30	53	2.22
30	30	30	30	53	2.22
30	30	30	30	53	2.22
[SEND] 060
30	30	30	30	54	2.22
30	60	60	30	73	0.00
30	60	60	30	92	0.00
37	60	60	37	106	0.00
48	60	60	48	114	3.64
56	60	60	56	117	4.85
61	60	60	61	116	4.55
64	60	60	64	114	3.33
64	60	60	64	112	2.12
64	60	60	64	110	0.91
64	60	60	64	107	-0.31
65	60	60	65	104	-1.83
65	60	60	65	101	-3.35
65	60	60	65	97	-4.86
65	60	60	65	94	-6.38
65	60	60	65	90	-7.90
64	60	60	64	87	-9.12
62	60	60	62	84	-9.72
60	60	60	60	84	-9.72
58	60	60	58	84	-9.12
58	60	60	58	84	-8.51
58	60	60	58	85	-7.90
58	60	60	58	85	-7.29
58	60	60	58	86	-6.69
58	60	60	58	86	-6.08
58	60	60	58	87	-5.47
58	60	60	58	88	-4.86
58	60	60	58	88	-4.26
58	60	60	58	89	-3.65
58	60	60	58	90	-3.04
58	60	60	58	91	-2.44
58	60	60	58	92	-1.83
58	60	60	58	93	-1.23
58	60	60	58	94	-0.62
58	60	60	58	95	-0.01
58	60	60	58	97	0.59
58	60	60	58	98	1.20
58	60	60	58	99	1.81
58	60	60	58	101	2.41
58	60	60	58	102	3.02
58	60	60	58	104	3.63
58	60	60	58	106	4.24
58	60	60	58	107	4.84
58	60	60	58	109	5.45
60	60	60	60	109	5.45
62	60	60	62	109	4.84
63	60	60	63	107	3.93
63	60	60	63	106	3.02
63	60	60	63	104	2.11
63	60	60	63	103	1.20
63	60	60	63	101	0.29
63	60	60	63	99	-0.62
63	60	60	63	97	-1.53
63	60	60	63	95	-2.44
63	60	60	63	93	-3.36
63	60	60	63	91	-4.26
63	60	60	63	88	-5.18
63	60	60	63	86	-6.09
61	60	60	61	85	-6.39
61	60	60	61	83	-6.69
60	60	60	60	83	-6.69
58	60	60	58	83	-6.09
58	60	60	58	84	-5.48
58	60	60	58	85	-4.87
58	60	60	58	85	-4.27
58	60	60	58	86	-3.79
57	60	60	57	88	-2.88
58	60	60	58	89	-2.27
57	60	60	57	90	-1.36
58	60	60	58	92	-0.75
57	60	60	57	93	0.16
58	60	60	58	95	0.76
57	60	60	57	97	1.68
57	60	60	57	99	2.59
57	60	60	57	101	3.50
57	60	60	57	103	4.41
58	60	60	58	105	5.02
57	60	60	57	107	5.93
58	60	60	58	109	6.53
60	60	60	60	110	6.53
60	60	60	60	110	6.53
60	60	60	60	111	6.53
60	60	60	60	112	6.53
60	60	60	60	112	6.53
61	60	60	61	112	6.23
61	60	60	61	112	5.93
61	60	60	61	112	5.62
61	60	60	61	112	5.32
62	60	60	62	111	4.71
62	60	60	62	111	4.10
62	60	60	62	110	3.50
62	60	60	62	109	3.02
62	60	60	62	108	2.42
62	60	60	62	107	1.81
62	60	60	62	106	1.20
62	60	60	62	105	0.59
62	60	60	62	103	-0.01
62	60	60	62	102	-0.62
62	60	60	62	101	-1.23
62	60	60	62	100	-1.84
62	60	60	62	98	-2.44
62	60	60	62	97	-3.05
62	60	60	62	95	-3.66
62	60	60	62	93	-4.27
62	60	60	62	92	-4.87
62	60	60	62	90	-5.48
62	60	60	62	88	-6.09
62	60	60	62	86	-6.69
61	60	60	61	85	-7.00
60	60	60	60	84	-7.00
60	60	60	60	84	-7.00
59	60	60	59	84	-6.69
59	60	60	59	83	-6.39
59	60	60	59	83	-6.08
58	60	60	58	84	-5.48
58	60	60	58	85	-4.87
58	60	60	58	86	-4.26
58	60	60	58	86	-3.66
58	60	60	58	87	-3.05
58	60	60	58	88	-2.44
57	60	60	57	90	-1.53
58	60	60	58	91	-0.92
58	60	60	58	92	-0.32
58	60	60	58	93	0.29
58	60	60	58	95	0.90
58	60	60	58	96	1.50
